Manufacturer,Model,Glass Diameter (mm),Image Diameter (mm),Closest Production Size (mm),Undercut (mm),Production Review,Notes
"PR Lighting Ltd.","XR 480S BWS Rotating","15.9","12.5","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"PR Lighting Ltd.","XR 580 Beam Rotating","22.5","12","22.5","0","","1.1mm Maximum Thickness."
"PR Lighting Ltd.","XR 580 BWS Rotating","22.5","12","22.5","0","",""
"PR Lighting Ltd.","XR 1000 Framing","36.3","23","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","XR 1000 Spot","27.9","23","27.8","0.1","",""
"PR Lighting Ltd.","XR 1000 Spot Rotating","27.8","23","27.8","0","",""
"PR Lighting Ltd.","XR 1000 Spot Static","27.8","23","27.8","0","",""
"PR Lighting Ltd.","XR 1400 Framing Rotating","37.5","26","37.5","0","",""
"PR Lighting Ltd.","XR 1400 Spot Rotating","37.5","26","37.5","0","",""
"PR Lighting Ltd.","XR 1700 Framing Rotating","37.5","26","37.5","0","",""
"PR Lighting Ltd.","XR 1700 Spot Rotating","37.5","26","37.5","0","",""
"PR Lighting Ltd.","XRLED 300 Spot","24","20","23.7","0.3","",""
"PR Lighting Ltd.","XRLED 500 Spot","27.8","23","27.8","0","",""
"PR Lighting Ltd.","XRLED 700 Spot","27.8","23","27.8","0","",""
"PR Lighting Ltd.","XRLED 700 Spot Fixed","27.8","23","27.8","0","","Metal gobos only."
"PR Lighting Ltd.","XRLED 700 Spot Rotating Glass Only","27.8","23","27.8","0","","1.1mm Maximum Thickness."
"PR Lighting Ltd.","XRLED 1200 Spot","31.8","24","31.5","0.3","",""
"PR Lighting Ltd.","XRLED 1500-W Rotating","37.5","24","37.5","0","",""
"PR Lighting Ltd.","XRLED 1500-W Spot","37.5","26","37.5","0","",""
"PR Lighting Ltd.","XRLED 1500-W Spot Rotating","37.5","24","37.5","0","",""
"PR Lighting Ltd.","XRLED 1500-W Static","36.3","23","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","XRLED 1800-W Rotating","37.5","24","37.5","0","",""
"PR Lighting Ltd.","XRLED 1800-W Static","36.3","23","35.3","1","Nearest size is 1 mm under the holder",""
"PR Lighting Ltd.","XRLED 3000-W","32","26","31.5","0.5","",""
"PRG","Best Boy LED","31.5","25","31.5","0","",""
"PRG","Icon Stage V3","25.5","20","25.5","0","",""
"Proel","Dreamlight 250","27.5","20","26.5","1","Nearest size is 1 mm under the holder",""
"Proel","Dreamlight 575 New","27","23","26.5","0.5","",""
"Proel","Dreamlight 575 Old","33","27","32.7","0.3","",""
"Proel","Dreamlight 1200 SCN New","37.5","28","37.5","0","",""
"Proel","Dreamlight 1200 SCN Old","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Proel","Joker","55","35","53.3","1.7","Nearest size is 1.7 mm under the holder",""
"Proel","Profile 575S","86","64.5","86","0","",""
"Proel","Tarkus","29","23","27.8","1.2","Nearest size is 1.2 mm under the holder",""
"Proel","Testamobile","26.5","22","26.5","0","",""
"Profoto","MultiSpot","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Profoto","Spot Small","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Profoto","Zoomspot","86","64.5","86","0","","Gobo holder: Sandwich style with 80mm aperture."
"Profoto","Zoomspot","100","75","100","0","","Gobo holder: Sandwich style with 80mm aperture."
"Prograe Systems","Zoomspot Mini","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Proietta","Impressive","70","50","70","0","",""
"Proietta","Impressive Evo 1200 / 2500W","70","50","70","0","",""
"Proietta","Palladio LED 300","70","50","70","0","","Image Area is unconfirmed."
"Proietta","Shark Monster","50","35","50","0","",""
"Proietta","Thorok LED 500W","70","50","70","0","",""
"Proietta","Thorok LED 700","70","50","70","0","",""
"Projected Image","10 Watt Range","37.5","25","37.5","0","","Also listed as AW10."
"Projected Image","20 Watt Range","37.5","25","37.5","0","","Also listed as AW20."
"Projected Image","40/80 Watt Range","53.3","30","53.3","0","","Also listed as AW40 / AW80."
"Projected Image","150/200 Watt Range","66","30","66","0","","Also listed as AW150 / AW200. GoboPlus lists AW150 at 42 mm image - verify. GoboPlus lists AW200 at 42 mm image - verify."
"Projected Image","AW10-C","37.5","25","37.5","0","",""
"Projected Image","AW10-R","37.5","25","37.5","0","",""
"Projected Image","AW 20-C","37.5","25","37.5","0","",""
"Prolight Concepts","Artisan 1200 WW Profile","74.5","63","70","4.5","Nearest size is 4.5 mm under the holder","No glass size available."
"Prolight Concepts","Crystal Spot","24","19","23.7","0.3","",""
"Prolight Concepts","eLumen8 16R Zoom Profile","17.8","11","16","1.8","Nearest size is 1.8 mm under the holder","No glass size available."
"Prolight Concepts","eLumen8 E300 LED Profile","17.8","11","16","1.8","Nearest size is 1.8 mm under the holder","No glass size available."
"Prolight Concepts","eLumen8 Evora 200 Hybrid","16.5","9","16","0.5","","High-temperature glass gobos only."
"Prolight Concepts","eLumen8 Evora 300 CMY","16.5","12.5","16","0.5","","15.9mm Glass. 1.1mm Maximum Thickness."
"Prolight Concepts","eLumen8 Evora 500 Spot","22.9","19","22.5","0.4","","22.5mm Glass. 1.1mm Maximum Thickness."
"Prolight Concepts","eLumen8 Evora 850 Zoom Spot","22.9","19","22.5","0.4","","22.5mm Glass. 1.1mm Maximum Thickness."
"Prolight Concepts","eLumen8 Evora 1000 BSW","14.8","9","","","No production size at or below 14.8 mm","No glass size available."
"Prolight Concepts","eLumen8 Evora 1000 Spot","20.5","16.5","20","0.5","","No glass size available."
"Prolight Concepts","eLumen8 Evora CMY470 Hybrid","17","12","16","1","Nearest size is 1 mm under the holder","No glass size available."
"Prolight Concepts","eLumen8 Evora CMY600","23","19","22.5","0.5","","22.5mm Glass. 1.1mm Maximum Thickness."
"Prolight Concepts","eLumen8 Impact 100","19.3","15","16","3.3","Nearest size is 3.3 mm under the holder","1.1mm Maximum Thickness."
"Prolight Concepts","eLumen8 MS550 LED","26.8","22","26.5","0.3","",""
"Prolight Concepts","eLumen8 MS700PE LED","26.8","22","26.5","0.3","","Gobo holder: Rotating."
"Prolight Concepts","eLumen8 MS700PE LED","31.5","22","31.5","0","","Gobo holder: Static."
"Prolight Concepts","eLumen8 MS700PE LED (Rotating)","26.8","22","26.5","0.3","",""
"Prolight Concepts","eLumen8 MS700PE LED (Static)","31.5","22","31.5","0","",""
"Prolight Concepts","eLumen8 PF LED Profile 100W/150W","70","60","70","0","",""
"Prolight Concepts","eLumen8 Virtuoso","86","64","86","0","","GoboPlus lists image 64.5mm - verify."
"Prolight Concepts","eLumen8 Virtuoso 600 Profile RGBAL","66","49","66","0","","GoboPlus lists glass M-65.5mm; image 49.5mm - verify."
"Prolight Concepts","eLumen8 Virtuoso 1000 Profile","86","64.5","86","0","",""
"Prolight Concepts","Emperor Spot MH 6616","26.8","22","26.5","0.3","",""
"Prolight Concepts","Equinox Fusion 150 Spot","22","16","21.4","0.6","",""
"Prolight Concepts","Equinox Fusion 200 Zoom Spot","23.7","20","23.7","0","","2mm Maximum Thickness."
"Prolight Concepts","Equinox Fusion 400 Hybrid - Rotating","22.8","14","22.5","0.3","","1.1mm Maximum Thickness."
"Prolight Concepts","Equinox Fusion 400 Hybrid - Static","17.9","12","16","1.9","Nearest size is 1.9 mm under the holder","1.1mm Maximum Thickness."
"Prolight Concepts","Equinox Fusion Spot 150","22","16","21.4","0.6","","1.1mm Maximum Thickness."
"Prolight Concepts","Equinox Gobo Projector EQLED78","32.5","22","31.5","1","Nearest size is 1 mm under the holder",""
"Prolight Concepts","Equinox Gobo Projector LED86","28.5","22","27.8","0.7","","27.8mm Glass. GoboPlus lists image 23mm - verify."
"Prolight Concepts","Equinox Gobo Projector XP 80W","44","35","44","0","",""
"Prolight Concepts","Equinox Helix Scan XP 150W Scanner","21.6","14","21.4","0.2","","0.32mm Maximum Thickness."
"Prolight Concepts","Equinox Helix XP 150w Gobo Flower","21.6","14","21.4","0.2","",""
"Prolight Concepts","Equinox Midas Spot","24","19","23.7","0.3","",""
"Prolight Concepts","Equinox Motif Gobo Projector","26.4","21","25.5","0.9","",""
"Prolight Concepts","Equinox MS550","26.8","22","26.5","0.3","",""
"Prolight Concepts","Equinox Promo Spot","28.5","22","27.8","0.7","","27.8mm Glass. GoboPlus lists image 23mm - verify."
"Prolight Concepts","Evora 470 CMY Hybrid","17","12","16","1","Nearest size is 1 mm under the holder",""
"Prolight Concepts","Fusion 200 Zoom Spot","23.8","20","23.7","0.1","",""
"Prolight Concepts","Impact 100 IP65 ELUM440","19.3","15","16","3.3","Nearest size is 3.3 mm under the holder",""
"Prolight Concepts","Impact 100 Pro IP65 ELUM441","19.3","15","16","3.3","Nearest size is 3.3 mm under the holder",""
"Prolight Concepts","Impact 400 IP65 ELUM442","26.4","22","25.5","0.9","",""
"Prolight Concepts","Impact 400 Pro IP65 ELUM443","26.4","22","25.5","0.9","",""
"Prolight Concepts","iSolution iMove 50","24","20","23.7","0.3","",""
"Prolight Concepts","iSolution iMove 150","17.8","15","16","1.8","Nearest size is 1.8 mm under the holder","No glass size available."
"Prolight Concepts","iSolution iMove 250, 275, 575","26.8","20","26.5","0.3","",""
"Prolight Concepts","iSolution iMove 350 S, SR","24","20","23.7","0.3","",""
"Prolight Concepts","iSolution iRock 5S","26.8","20","26.5","0.3","",""
"Prolight Concepts","iSolution Xperior 300A Beam, 700A Beam","26.8","20","26.5","0.3","",""
"Prolight Concepts","iSolution Xperior XP 300SZ Spot","31.5","24","31.5","0","",""
"Prolight Concepts","iSpot 575","26.8","20","26.5","0.3","",""
"Prolight Concepts","Jade Fixture (Gobo Holder: 1.1mm at edge)","15.9","12","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"Prolight Concepts","LED J Artisan 1200","73","64","70","3","Nearest size is 3 mm under the holder","No glass size available."
"Prolight Concepts","LEDJ FS300 LED Followspot","74","64","70","4","Nearest size is 4 mm under the holder","No glass size available. GoboPlus lists glass 74.5mm; image 65mm - verify."
"Prolight Concepts","LEDJ PF 35 Profile Spot","25.8","19","25.5","0.3","",""
"Prolight Concepts","Libretto Mini Bi-CCT Profile","23.5","20","22.5","1","Nearest size is 1 mm under the holder","No glass size available. GoboPlus lists image 20.5mm - verify."
"Prolight Concepts","Libretto Mini RGBAL Profile","23.5","20.5","22.5","1","Nearest size is 1 mm under the holder",""
"Prolight Concepts","Libretto Mini WW Profile","23.5","20.5","22.5","1","Nearest size is 1 mm under the holder",""
"Prolight Concepts","Metal Halide 150W Profile","86","64","86","0","","GoboPlus lists image 64.5mm - verify."
"Prolight Concepts","Moonstone","27","19","26.5","0.5","",""
"Prolight Concepts","PF 35 Profile Spot","25.8","19","25.5","0.3","",""
"Prolight Concepts","Pixie Pro","16.9","14","16","0.9","",""
"Prolight Concepts","Queen Spot MH 666A","26.8","22","26.5","0.3","",""
"Prolight Concepts","Titan Beam T3","9.8","6.5","","","No production size at or below 9.8 mm","No glass size available."
"Prolight Concepts","Wildtech Logo Projector 250 ELC","53.3","40","53.3","0","",""
"Prolights","Aria 700 Profile","26.7","22","26.5","0.2","",""
"Prolights","Astra Hybrid420","15.9","12","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"Prolights","Astra Hybrid420 IP","15.9","12","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"Prolights","Astra Hybrid 330","20","16","20","0","","High-temperature glass gobos only."
"Prolights","Astra Profile400","25.7","19","25.5","0.2","","1.1mm Maximum Thickness."
"Prolights","Astra Profile 600 IP","29.9","22","29.9","0","",""
"Prolights","BATGOBOIR","25.7","19","25.5","0.2","","Metal gobos only."
"Prolights","Crystal Spot Moving Head - max 0.5mm thcikness","23.7","19","23.7","0","",""
"Prolights","ECL Gallery Profile","37.3","26","35.3","2","Nearest size is 2 mm under the holder","1.1mm Maximum Thickness."
"Prolights","EclDat FC","37","23","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Prolights","EclDisplay Spot","37.5","23","37.5","0","",""
"Prolights","EclipseFS","86","64.5","86","0","",""
"Prolights","EclMiniProfile","37.5","24","37.5","0","",""
"Prolights","EclProfile FC","86","64.5","86","0","",""
"Prolights","EclProfile JrZIP","65.5","45","53.3","12.2","Nearest size is 12.2 mm under the holder","1.1mm Maximum Thickness."
"Prolights","Jade Fixture","15.7","12","","","No production size at or below 15.7 mm","1.1mm Maximum Thickness."
"Prolights","Jade Moving Hybrid","15.9","12","","","No production size at or below 15.9 mm",""
"Prolights","Jet Spot4Z","24.2","20","23.7","0.5","","1.1mm Maximum Thickness."
"Prolights","Jet Spot 2","24.2","20","23.7","0.5","","Metal gobos only."
"Prolights","Jet Spot 3 - Rotating Metal Only","26.7","23","26.5","0.2","",""
"Prolights","Jet Spot 3 - Static Metal Only","29.6","23","27.8","1.8","Nearest size is 1.8 mm under the holder",""
"Prolights","LUMA700 LED","27","21","26.5","0.5","",""
"Prolights","Luma 700 - Fixed Wheel","26.8","20","26.5","0.3","",""
"Prolights","Luma 700 - Rotating","26.5","21","26.5","0","",""
"Prolights","Luma 1500SH","26.7","20","26.5","0.2","","1.1mm Maximum Thickness."
"Prolights","Luma 1500SP","26.7","20","26.5","0.2","","1.1mm Maximum Thickness."
"Prolights","Mosaico","26.9","22","26.5","0.4","","Glass gobos only. Colour Gobos - 20mm."
"Prolights","Mosaico FX100","26.9","22.5","26.5","0.4","","20.5mm Colour Gobos."
"Prolights","Mosaico Jr","15.8","12","","","No production size at or below 15.8 mm","Glass gobos only. 9mm for Colour Gobos."
"Prolights","Mosaico L","26.9","23","26.5","0.4","","Glass gobos only. 20.5mm Colour Glass."
"Prolights","Mosaico XL","26.9","20.5","26.5","0.4","","Glass gobos only."
"Prolights","PanoramaIP AirBeam","15.8","9","","","No production size at or below 15.8 mm","Metal gobos only."
"Prolights","PanoramaIP Spot - Rotating","26","19","25.5","0.5","","2mm Maximum Thickness."
"Prolights","PanoramaIP Spot - Static Metal Only","26","19","25.5","0.5","",""
"Prolights","Pixie Spot","16.9","14","16","0.9","","1.1mm Maximum Thickness."
"Prolights","Ra 2000Profile","26.7","20","26.5","0.2","","1.1mm Maximum Thickness."
"Prolights","Ra 2000ProfileHB","26.7","20","26.5","0.2","","1.1mm Maximum Thickness."
"Prolights","Ra 3000Profile","31.6","26","31.5","0.1","","1.1mm Maximum Thickness."
"Prolights","Razor 440","25.7","13","25.5","0.2","","1.1mm Maximum Thickness."
"Pulsar","Profile Spot","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Pulse","Gobo Projector 30W LED","47.5","35","44","3.5","Nearest size is 3.5 mm under the holder",""
"Pulse","Logo 30","28.6","26","27.8","0.8","",""
"R&V","Profile","100","75","100","0","","Gobo holder: GH23 metal."
"RazTech","Raz25 LED","49.5","28.6","44","5.5","Nearest size is 5.5 mm under the holder",""
"RDS","Projector","100","75","100","0","","Gobo holder: GH54 metal."
"Reggiani","Meridiana Framing Projector","50","40","50","0","",""
"Robe","BMFL Blade","30.8","25","30.8","0","","High Intensity (Heavy Matted)."
"Robe","BMFL Spot","30.8","25","30.8","0","","High Intensity (Heavy Matted)."
"Robe","BMFL Washbeam","30.8","25","30.8","0","","High Intensity (Heavy Matted)."
"Robe","ClubScan 250 CT","15.8","13","","","No production size at or below 15.8 mm","Gobo holder: Rotating Metal short term only. Glass recommended."
"Robe","ClubSpot 160 CT","26.8","22","26.5","0.3","","Gobo holder: Rotating Metal short term only. Glass recommended."
"Robe","ClubSpot 250","26.8","19","26.5","0.3","",""
"Robe","ClubSpot 250 CT","26.8","22","26.5","0.3","","Gobo holder: Rotating Metal short term only. Glass recommended."
"Robe","ColorBeam 700E AT","26.8","22","26.5","0.3","","Gobo holder: Static - Metal short term use only. Rotating - Glass recommended."
"Robe","ColorBeam 2500E AT","37","28","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Robe","ColorMix 150 AT","26.8","22","26.5","0.3","",""
"Robe","ColorSpot 170","26.8","19","26.5","0.3","",""
"Robe","ColorSpot 170 AT","26.8","22","26.5","0.3","","Gobo holder: Metal short term use only. Glass recommended."
"Robe","ColorSpot 250","26.8","19","26.5","0.3","",""
"Robe","ColorSpot 250 AT","26.8","22","26.5","0.3","",""
"Robe","ColorSpot 575","26.8","19","26.5","0.3","",""
"Robe","ColorSpot 575 AT","26.8","22","26.5","0.3","",""
"Robe","ColorSpot 575 E AT","26.8","22","26.5","0.3","",""
"Robe","ColorSpot 700E AT","26.8","22","26.5","0.3","",""
"Robe","ColorSpot 1200","37.5","29","37.5","0","",""
"Robe","ColorSpot 1200 AT","37","28","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Robe","ColorSpot 1200E AT","37","28","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Robe","ColorSpot E AT Profile","37.3","28","35.3","2","Nearest size is 2 mm under the holder","Gobo holder: Rotating - Glass recommended by manufacturer."
"Robe","Cuete","15.9","12.5","","","No production size at or below 15.9 mm","Glass gobos only."
"Robe","DJ Roller 250 XT","15.9","12.5","","","No production size at or below 15.9 mm",""
"Robe","DJ Scan 150 XT, 250 XT","15.9","12.5","","","No production size at or below 15.9 mm",""
"Robe","DL4S Profile","26.8","22","26.5","0.3","",""
"Robe","DL4X Spot","26.8","22","26.5","0.3","",""
"Robe","DL7S Profile","30.8","25","30.8","0","",""
"Robe","Dominator 1200 XT","33","29","32.7","0.3","","Gobo holder: Glass and metal ok."
"Robe","Esprite","26.8","23.5","26.5","0.3","","Manufacturer recommends glass only."
"Robe","Esprite FS","26.8","23.5","26.5","0.3","","Manufacturer recommends glass only."
"Robe","Forte","30.8","25","30.8","0","","Manufacturer recommends glass only."
"Robe","Forte FS","30.8","25","30.8","0","","Manufacturer recommends glass only."
"Robe","Forte Ltx","30.8","25","30.8","0","","Glass gobos only."
"Robe","Gigapointe","15.9","12.5","","","No production size at or below 15.9 mm","High-temperature glass gobos only."
"Robe","iEsprite LTL Rotating Wheel","21.3","18","20","1.3","Nearest size is 1.3 mm under the holder","High-temperature glass gobos only."
"Robe","iEsprite LTL Static Wheel","26.8","18","26.5","0.3","","High-temperature glass gobos only."
"Robe","iForte","30.8","25","30.8","0","","Manufacturer recommends glass only."
"Robe","Image Spot 250","37.5","29","37.5","0","",""
"Robe","ImageSpot 250 AT","37","28","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Robe","Ipointe","15.9","12.5","","","No production size at or below 15.9 mm","Heat-temperature coating required."
"Robe","iPointe 65","15.9","12.5","","","No production size at or below 15.9 mm","Manufacturer recommends glass only. 1.1mm Maximum Thickness."
"Robe","LED Pointe","15.9","12.5","","","No production size at or below 15.9 mm","Glass gobos only."
"Robe","MegaPointe","15.9","12.5","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"Robe","MH420","27","22","26.5","0.5","",""
"Robe","MMX Blade","26.8","22","26.5","0.3","",""
"Robe","MMX Spot","26.8","22","26.5","0.3","",""
"Robe","MMX WashBeam","26.8","22","26.5","0.3","",""
"Robe","MS Zoom 250","37.5","19","37.5","0","",""
"Robe","MS Zoom 250 XT","37.3","28","35.3","2","Nearest size is 2 mm under the holder","Gobo holder: Glass and metal ok."
"Robe","Painte","15.9","12.5","","","No production size at or below 15.9 mm","Glass gobos only."
"Robe","Pointe","15.9","12.5","","","No production size at or below 15.9 mm","1.1mm Maximum Thickness."
"Robe","Recessed Spot 170 AT","26.8","22","26.5","0.3","",""
"Robe","Robin 300 Beam Classic","26.8","22","26.5","0.3","","Gobo holder: Rotating - Glass recommended by manufacturer."
"Robe","Robin 300 Plasma Spot","26.8","22","26.5","0.3","","Gobo holder: Static - Metal short term use only. Rotating - Glass recommended by manufacturer."
"Robe","Robin 300 Spot Classic","26.8","22","26.5","0.3","","Gobo holder: Rotating - Metal short term use only. Glass recommended."
"Robe","Robin 300E Beam","26.8","22","26.5","0.3","","Gobo holder: Rotating - Glass recommended by manufacturer."
"Robe","Robin 300E Spot","26.8","22.5","26.5","0.3","","Glass gobos only."
"Robe","Robin 600E Beam","26.8","22","26.5","0.3","","Gobo holder: Rotating - Glass recommended by manufacturer."
"Robe","Robin 600E Spot","26.8","22","26.5","0.3","",""
"Robe","Robin DL4S Profile","26.8","22","26.5","0.3","","Gobo holder: Static - Metal short term use only. Rotating - Glass recommended only."
"Robe","Robin DL4X Profile","26.8","22","26.5","0.3","","Gobo holder: Static - Metal short term use only. Rotating - Glass recommended by manufacturer."
"Robe","Robin DL7S Profile","30.8","25","30.8","0","",""
"Robe","Robin DLS Profile","26.8","22","26.5","0.3","","Gobo holder: Rotating Glass & Metal ok."
"Robe","Robin DLX Spot","26.8","22","26.5","0.3","",""
"Robe","Robin MMX","26.8","22","26.5","0.3","",""
"Robe","Robin MMX Blade","26.8","22","26.5","0.3","",""
"Robe","Scan 250","26.8","19","26.5","0.3","",""
"Robe","Scan 250 XT","26.8","22","26.5","0.3","",""
"Robe","Scan 575","26.8","19","26.5","0.3","",""
"Robe","Scan 575 XT","26.8","22","26.5","0.3","",""
"Robe","Scan 1200 XT","53.3","40","53.3","0","",""
"Robe","Silverscan","26.8","20","26.5","0.3","","Manufacturer recommends glass only."
"Robe","Spot 160","26.8","19","26.5","0.3","",""
"Robe","Spot 160 XT","26.8","22","26.5","0.3","",""
"Robe","Spot 250","26.8","19","26.5","0.3","",""
"Robe","Spot 250 XT","26.8","22","26.5","0.3","",""
"Robe","Spot 575","26.8","19","26.5","0.3","",""
"Robe","Spot 575 XT","26.8","22","26.5","0.3","","Gobo holder: Rotating and Static, Metal (short term use) and Glass."
"Robe","Spote","15.9","12.5","","","No production size at or below 15.9 mm","Manufacturer recommends glass only. 1.1mm Maximum Thickness."
"Robe","Superspikie","26.8","22.5","26.5","0.3","","Manufacturer recommends glass only."
"Robe","T1 Profile Spot","26.8","23.5","26.5","0.3","","Manufacturer recommends glass only."
"Robe","T2 Profile","30.8","25","30.8","0","","Manufacturer recommends glass only."
"Robe","T2 Profile FS","30.8","25","30.8","0","","Manufacturer recommends glass only."
"Robe","T11 Profile (Glass only)","26.8","23.5","26.5","0.3","",""
"Robe","TX1","26.8","23.5","26.5","0.3","","Glass gobos only."
"Robe","Viva","26.8","22","26.5","0.3","","Glass gobos only."
"Robert Juliat","Alex","100","72","100","0","",""
"Robert Juliat","Alice","100","72","100","0","",""
"Robert Juliat","Aramis","86","55","86","0","",""
"Robert Juliat","Arthur","100","70","100","0","",""
"Robert Juliat","Athos","100","75","100","0","",""
"Robert Juliat","Buxie Follow Spot","100","75","100","0","",""
"Robert Juliat","Charles 960SX Range","100","70","100","0","",""
"Robert Juliat","Cricket","100","72","100","0","",""
"Robert Juliat","Cyrano","86","55","86","0","",""
"Robert Juliat","D'Artagnan","86","64.5","86","0","",""
"Robert Juliat","Flo","100","72","100","0","",""
"Robert Juliat","Foxie Follow Spot","100","75","100","0","",""
"Robert Juliat","Ginger","100","72","100","0","",""
"Robert Juliat","Lancelot","100","72","100","0","",""
"Robert Juliat","Lucy","100","72","100","0","",""
"Robert Juliat","Manon","100","72","100","0","",""
"Robert Juliat","Merlin","100","70","100","0","",""
"Robert Juliat","Oz","100","72","100","0","",""
"Robert Juliat","RJ 600","86","64.5","86","0","","Gobo holder: GH58 metal and glass."
"Robert Juliat","RJ 600","100","75","100","0","","Gobo holder: GH70 metal."
"Robert Juliat","RJ 700","86","64.5","86","0","","Gobo holder: GH58 metal and glass."
"Robert Juliat","RJ 700","100","75","100","0","","Gobo holder: GH70 metal."
"Robert Juliat","RJ 900","86","64.5","86","0","","Gobo holder: GH58 metal and glass."
"Robert Juliat","RJ 900","100","75","100","0","","Gobo holder: GH70 metal."
"Robert Juliat","Robert Juliat A-Size","100","58","100","0","",""
"Robert Juliat","Robert Juliat B-Size","84","58","70","14","Nearest size is 14 mm under the holder",""
"Robert Juliat","Roxie Follow Spot","100","75","100","0","",""
"Robert Juliat","Sully 650SX Range","100","70","100","0","",""
"Robert Juliat","Sully 1156","100","72","100","0","",""
"Robert Juliat","Super Korrigan","100","72","100","0","",""
"Robert Juliat","SX","100","75","100","0","",""
"Robert Juliat","Tibo 500W only","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Robert Juliat","Topaze","100","72","100","0","",""
"Robert Juliat","Victor","100","72","100","0","",""
"Robert Juliat","ZEP2 640SX2 Range","100","70","100","0","",""
"Robert Juliat","ZEP 663SX2 Range","100","70","100","0","",""
"Roblight","Gobo Spot","22.5","14","22.5","0","",""
"Rosco","Image Spot","37.5","28","37.5","0","","Gobo holder: Rosco supply gobo with bezel to fit integral holder."
"Rosco","Image Spot Mini","20.5","13.5","20","0.5","",""
"Sagitter","FleXo","27","22","26.5","0.5","",""
"Sagitter","FleXo Super","27","22","26.5","0.5","",""
"Sagitter","Infinity - all models","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Sagitter","Moving FX 2002","37","28","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Sagitter","Moving Spot 575, MSD 250","27","22","26.5","0.5","",""
"Sagitter","Tracer Follow Spot 1200","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Scanic","Astute 575 Pro","29","22","27.8","1.2","Nearest size is 1.2 mm under the holder",""
"Scenilux","8/30 Profile","86","64.5","86","0","",""
"Schreder","VALINTA Mini Gobo","37.5","28","37.5","0","",""
"Selecon","Accent","37.5","24","37.5","0","",""
"Selecon","Accent Profile / Aureol","37.5","28","37.5","0","",""
"Selecon","Acclaim","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH60 metal."
"Selecon","All Acclaim Profiles","66","59","66","0","",""
"Selecon","Arena Zoomspot","100","75","100","0","","Gobo holder: GH01 metal, GH02 glass."
"Selecon","Astral","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH60 metal."
"Selecon","Aureol Beamshaper","37.5","24","37.5","0","",""
"Selecon","Condenser 1200","86","59","86","0","","GoboPlus lists glass A-100mm; image 75mm - verify."
"Selecon","Display Profile / SDP","37.5","28","37.5","0","","24mm for logos."
"Selecon","Pacific 5.5-13 Zoom","66","59","66","0","",""
"Selecon","Pacific 12-28 Zoom","66","59","66","0","",""
"Selecon","Pacific 12/28, 18/32, 5/13","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH81 metal."
"Selecon","Pacific 14-35 Zoom","86","59","86","0","",""
"Selecon","Pacific 14/35","86","64.5","86","0","","Gobo holder: 15786 metal and glass, GH78 metal, GH79 glass."
"Selecon","Pacific 20, 30, 40, 50, 90 Fixed Beam","100","75","100","0","",""
"Selecon","Pacific 23-50 Zoom","100","59","100","0","",""
"Selecon","Pacific 25/30, 45/75","100","75","100","0","","Gobo holder: GH72 metal, GH80 glass."
"Selecon","Pacific Cool Light 90","86","64.5","86","0","","Gobo holder: 15786 metal and glass, GH78 metal, GH79 glass."
"Selecon","Pacific Fixed Beams","100","59","100","0","",""
"Selecon","Performer","53.3","40","53.3","0","",""
"Selecon","PL Profile 1 LED","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Selecon","PL Profile 4 LED","86","64.5","86","0","",""
"Selecon","Rua Followspot","86","64.5","86","0","",""
"Selecon","Solon","37.5","28","37.5","0","",""
"Selecon","SPX Zoomspot","86","64.5","86","0","",""
"Selecon","Tahi","86","64.5","86","0","",""
"Selecon","The Arena Range","100","59","100","0","",""
"Selecon","Toru Followspot","86","64.5","86","0","",""
"Selecon","Zoomspot 1200","86","59","86","0","","GoboPlus lists glass A-100mm; image 75mm - verify."
"Selecon","Zoomspot 2000","100","75","100","0","","Gobo holder: GH01 metal, GH02 glass."
